road_id,road_name,neighbourhood,hour,speed_limit,avg_speed,volume,capacity,incident_count,incident_text,incident_weight
R001,Nungambakkam_Rd_1,Nungambakkam,0,40,20.8,662,851,0,no incidents reported,0
R001,Nungambakkam_Rd_1,Nungambakkam,1,40,19.5,626,851,1,major collision road closed,3
R001,Nungambakkam_Rd_1,Nungambakkam,2,40,19.3,479,851,0,clear roads,0
R001,Nungambakkam_Rd_1,Nungambakkam,3,40,19.3,698,851,1,minor fender bender cleared,1
R001,Nungambakkam_Rd_1,Nungambakkam,4,40,23.0,469,851,1,major collision road closed,3
R001,Nungambakkam_Rd_1,Nungambakkam,5,40,21.3,726,851,1,slight congestion due to signal,1
R001,Nungambakkam_Rd_1,Nungambakkam,6,40,15.3,627,851,0,clear roads,0
R001,Nungambakkam_Rd_1,Nungambakkam,7,40,11.0,851,851,1,slight congestion due to signal,1
R001,Nungambakkam_Rd_1,Nungambakkam,8,40,10.4,851,851,0,traffic moving normally,0
R001,Nungambakkam_Rd_1,Nungambakkam,9,40,6.1,851,851,0,no incidents reported,0
R001,Nungambakkam_Rd_1,Nungambakkam,10,40,7.9,851,851,0,no incidents reported,0
R001,Nungambakkam_Rd_1,Nungambakkam,11,40,16.8,688,851,0,traffic moving normally,0
R001,Nungambakkam_Rd_1,Nungambakkam,12,40,17.3,712,851,1,accident reported minor injuries,2
R001,Nungambakkam_Rd_1,Nungambakkam,13,40,13.9,829,851,0,traffic moving normally,0
R001,Nungambakkam_Rd_1,Nungambakkam,14,40,13.3,851,851,1,minor fender bender cleared,1
R001,Nungambakkam_Rd_1,Nungambakkam,15,40,16.4,623,851,1,vehicle breakdown lane blocked,2
R001,Nungambakkam_Rd_1,Nungambakkam,16,40,15.0,793,851,0,no incidents reported,0
R001,Nungambakkam_Rd_1,Nungambakkam,17,40,10.2,851,851,0,clear roads,0
R001,Nungambakkam_Rd_1,Nungambakkam,18,40,10.8,851,851,1,minor fender bender cleared,1
R001,Nungambakkam_Rd_1,Nungambakkam,19,40,8.7,851,851,1,construction work causing delays,2
R001,Nungambakkam_Rd_1,Nungambakkam,20,40,12.4,851,851,0,clear roads,0
R001,Nungambakkam_Rd_1,Nungambakkam,21,40,13.8,739,851,0,traffic moving normally,0
R001,Nungambakkam_Rd_1,Nungambakkam,22,40,13.5,851,851,0,clear roads,0
R001,Nungambakkam_Rd_1,Nungambakkam,23,40,16.6,823,851,1,accident reported minor injuries,2
R002,Nungambakkam_Rd_2,Nungambakkam,0,60,31.9,552,963,0,no incidents reported,0
R002,Nungambakkam_Rd_2,Nungambakkam,1,60,30.2,585,963,0,traffic moving normally,0
R002,Nungambakkam_Rd_2,Nungambakkam,2,60,29.4,644,963,0,traffic moving normally,0
R002,Nungambakkam_Rd_2,Nungambakkam,3,60,28.8,608,963,1,vehicle breakdown lane blocked,2
R002,Nungambakkam_Rd_2,Nungambakkam,4,60,28.3,611,963,1,construction work causing delays,2
R002,Nungambakkam_Rd_2,Nungambakkam,5,60,32.9,691,963,0,clear roads,0
R002,Nungambakkam_Rd_2,Nungambakkam,6,60,25.3,669,963,0,clear roads,0
R002,Nungambakkam_Rd_2,Nungambakkam,7,60,13.7,963,963,0,clear roads,0
R002,Nungambakkam_Rd_2,Nungambakkam,8,60,12.8,963,963,0,no incidents reported,0
R002,Nungambakkam_Rd_2,Nungambakkam,9,60,16.7,963,963,0,traffic moving normally,0
R002,Nungambakkam_Rd_2,Nungambakkam,10,60,17.9,963,963,0,clear roads,0
R002,Nungambakkam_Rd_2,Nungambakkam,11,60,27.1,669,963,0,no incidents reported,0
R002,Nungambakkam_Rd_2,Nungambakkam,12,60,19.1,963,963,0,no incidents reported,0
R002,Nungambakkam_Rd_2,Nungambakkam,13,60,20.7,963,963,1,fatal accident blocked road,3
R002,Nungambakkam_Rd_2,Nungambakkam,14,60,20.2,853,963,0,traffic moving normally,0
R002,Nungambakkam_Rd_2,Nungambakkam,15,60,23.7,763,963,1,accident reported minor injuries,2
R002,Nungambakkam_Rd_2,Nungambakkam,16,60,26.7,963,963,0,clear roads,0
R002,Nungambakkam_Rd_2,Nungambakkam,17,60,20.3,963,963,0,traffic moving normally,0
R002,Nungambakkam_Rd_2,Nungambakkam,18,60,17.3,963,963,1,slow traffic near junction,1
R002,Nungambakkam_Rd_2,Nungambakkam,19,60,14.3,963,963,0,clear roads,0
R002,Nungambakkam_Rd_2,Nungambakkam,20,60,16.1,963,963,0,traffic moving normally,0
R002,Nungambakkam_Rd_2,Nungambakkam,21,60,29.0,802,963,1,slight congestion due to signal,1
R002,Nungambakkam_Rd_2,Nungambakkam,22,60,24.6,759,963,0,clear roads,0
R002,Nungambakkam_Rd_2,Nungambakkam,23,60,23.4,832,963,0,clear roads,0
R003,Nungambakkam_Rd_3,Nungambakkam,0,80,38.7,1041,1541,1,truck overturned blocking all lanes,3
R003,Nungambakkam_Rd_3,Nungambakkam,1,80,41.0,1211,1541,0,no incidents reported,0
R003,Nungambakkam_Rd_3,Nungambakkam,2,80,36.4,1296,1541,0,no incidents reported,0
R003,Nungambakkam_Rd_3,Nungambakkam,3,80,37.6,1236,1541,1,truck overturned blocking all lanes,3
R003,Nungambakkam_Rd_3,Nungambakkam,4,80,43.3,1234,1541,0,traffic moving normally,0
R003,Nungambakkam_Rd_3,Nungambakkam,5,80,40.9,932,1541,0,traffic moving normally,0
R003,Nungambakkam_Rd_3,Nungambakkam,6,80,32.8,1511,1541,0,traffic moving normally,0
R003,Nungambakkam_Rd_3,Nungambakkam,7,80,23.7,1541,1541,0,clear roads,0
R003,Nungambakkam_Rd_3,Nungambakkam,8,80,17.0,1541,1541,0,no incidents reported,0
R003,Nungambakkam_Rd_3,Nungambakkam,9,80,18.5,1541,1541,0,no incidents reported,0
R003,Nungambakkam_Rd_3,Nungambakkam,10,80,21.0,1541,1541,0,clear roads,0
R003,Nungambakkam_Rd_3,Nungambakkam,11,80,33.4,1333,1541,0,clear roads,0
R003,Nungambakkam_Rd_3,Nungambakkam,12,80,23.1,1236,1541,1,construction work causing delays,2
R003,Nungambakkam_Rd_3,Nungambakkam,13,80,27.1,1383,1541,0,traffic moving normally,0
R003,Nungambakkam_Rd_3,Nungambakkam,14,80,28.2,1505,1541,1,construction work causing delays,2
R003,Nungambakkam_Rd_3,Nungambakkam,15,80,34.0,1448,1541,0,no incidents reported,0
R003,Nungambakkam_Rd_3,Nungambakkam,16,80,33.4,1541,1541,0,no incidents reported,0
R003,Nungambakkam_Rd_3,Nungambakkam,17,80,21.3,1541,1541,0,traffic moving normally,0
R003,Nungambakkam_Rd_3,Nungambakkam,18,80,13.9,1541,1541,0,clear roads,0
R003,Nungambakkam_Rd_3,Nungambakkam,19,80,21.5,1541,1541,0,no incidents reported,0
R003,Nungambakkam_Rd_3,Nungambakkam,20,80,21.8,1541,1541,0,no incidents reported,0
R003,Nungambakkam_Rd_3,Nungambakkam,21,80,42.3,1194,1541,0,clear roads,0
R003,Nungambakkam_Rd_3,Nungambakkam,22,80,31.6,1114,1541,0,clear roads,0
R003,Nungambakkam_Rd_3,Nungambakkam,23,80,33.6,1320,1541,0,no incidents reported,0
R004,Nungambakkam_Rd_4,Nungambakkam,0,40,22.1,958,1543,0,traffic moving normally,0
R004,Nungambakkam_Rd_4,Nungambakkam,1,40,21.3,1199,1543,0,no incidents reported,0
R004,Nungambakkam_Rd_4,Nungambakkam,2,40,22.6,1152,1543,0,no incidents reported,0
