road_id,road_name,neighbourhood,hour,speed_limit,avg_speed,volume,capacity,incident_count,incident_text,incident_weight,nlp_severity,network_stress,C1,C2,C3,C4,ufi_raw,temporal_weight,ufi_score,ufi_class
R001,Nungambakkam_Rd_1,Nungambakkam,7,40,11.0,851,851,1,slight congestion due to signal,1,0.13333333333333333,0.007769423558897243,0.8358862144420132,1.0,0.679324894514768,0.25,0.7659251539576581,1.0,76.59251539576582,Severe
R001,Nungambakkam_Rd_1,Nungambakkam,8,40,10.4,851,851,0,traffic moving normally,0,0.0,0.007769423558897243,0.8555798687089716,1.0,0.679324894514768,0.0,0.7353179329510936,1.0,73.53179329510937,High
R001,Nungambakkam_Rd_1,Nungambakkam,9,40,6.1,851,851,0,no incidents reported,0,0.0,0.007769423558897243,0.9967177242888404,1.0,0.679324894514768,0.0,0.7847161824040476,1.0,78.47161824040477,Severe
R001,Nungambakkam_Rd_1,Nungambakkam,10,40,7.9,851,851,0,no incidents reported,0,0.0,0.007769423558897243,0.9376367614879649,1.0,0.679324894514768,0.0,0.7640378454237413,1.0,76.40378454237413,Severe
R001,Nungambakkam_Rd_1,Nungambakkam,17,40,10.2,851,851,0,clear roads,0,0.0,0.007769423558897243,0.8621444201312911,1.0,0.679324894514768,0.0,0.7376155259489054,1.0,73.76155259489055,High
R001,Nungambakkam_Rd_1,Nungambakkam,18,40,10.8,851,851,1,minor fender bender cleared,1,0.13333333333333333,0.007769423558897243,0.8424507658643327,1.0,0.679324894514768,0.25,0.76822274695547,1.0,76.822274695547,Severe
R001,Nungambakkam_Rd_1,Nungambakkam,19,40,8.7,851,851,1,construction work causing delays,2,0.13333333333333333,0.007769423558897243,0.911378555798687,1.0,0.679324894514768,0.25,0.7923474734324939,1.0,79.2347473432494,Severe
R001,Nungambakkam_Rd_1,Nungambakkam,20,40,12.4,851,851,0,clear roads,0,0.0,0.007769423558897243,0.7899343544857768,1.0,0.679324894514768,0.0,0.7123420029729755,1.0,71.23420029729755,High
R002,Nungambakkam_Rd_2,Nungambakkam,7,60,13.7,963,963,0,clear roads,0,0.0,0.004716336295283664,0.8971553610503283,1.0,0.39662447257383965,0.0,0.6933292708823828,1.0,69.33292708823828,High
R002,Nungambakkam_Rd_2,Nungambakkam,8,60,12.8,963,963,0,no incidents reported,0,0.0,0.004716336295283664,0.9168490153172867,1.0,0.39662447257383965,0.0,0.7002220498758183,1.0,70.02220498758183,High
R002,Nungambakkam_Rd_2,Nungambakkam,9,60,16.7,963,963,0,traffic moving normally,0,0.0,0.004716336295283664,0.8315098468271336,1.0,0.39662447257383965,0.0,0.6703533409042646,1.0,67.03533409042646,High
R002,Nungambakkam_Rd_2,Nungambakkam,10,60,17.9,963,963,0,clear roads,0,0.0,0.004716336295283664,0.8052516411378556,1.0,0.39662447257383965,0.0,0.6611629689130174,1.0,66.11629689130174,High
R002,Nungambakkam_Rd_2,Nungambakkam,17,60,20.3,963,963,0,traffic moving normally,0,0.0,0.004716336295283664,0.7527352297592997,1.0,0.39662447257383965,0.0,0.6427822249305228,1.0,64.27822249305228,High
R002,Nungambakkam_Rd_2,Nungambakkam,18,60,17.3,963,963,1,slow traffic near junction,1,0.06666666666666667,0.004716336295283664,0.8183807439824946,1.0,0.39662447257383965,0.125,0.6845081549086411,1.0,68.45081549086412,High
R002,Nungambakkam_Rd_2,Nungambakkam,19,60,14.3,963,963,0,clear roads,0,0.0,0.004716336295283664,0.8840262582056894,1.0,0.39662447257383965,0.0,0.6887340848867591,1.0,68.87340848867592,High
R002,Nungambakkam_Rd_2,Nungambakkam,20,60,16.1,963,963,0,traffic moving normally,0,0.0,0.004716336295283664,0.8446389496717724,1.0,0.39662447257383965,0.0,0.6749485268998883,1.0,67.49485268998883,High
R003,Nungambakkam_Rd_3,Nungambakkam,7,80,23.7,1541,1541,0,clear roads,0,0.0,0.006766917293233083,0.8079868708971554,1.0,0.5864978902953587,0.0,0.700094982873076,1.0,70.00949828730761,High
R003,Nungambakkam_Rd_3,Nungambakkam,8,80,17.0,1541,1541,0,no incidents reported,0,0.0,0.006766917293233083,0.9179431072210066,1.0,0.5864978902953587,0.0,0.7385796655864241,1.0,73.8579665586424,High
R003,Nungambakkam_Rd_3,Nungambakkam,9,80,18.5,1541,1541,0,no incidents reported,0,0.0,0.006766917293233083,0.8933260393873087,1.0,0.5864978902953587,0.0,0.7299636918446297,1.0,72.99636918446298,High
R003,Nungambakkam_Rd_3,Nungambakkam,10,80,21.0,1541,1541,0,clear roads,0,0.0,0.006766917293233083,0.8522975929978119,1.0,0.5864978902953587,0.0,0.7156037356083059,1.0,71.5603735608306,High
R003,Nungambakkam_Rd_3,Nungambakkam,17,80,21.3,1541,1541,0,traffic moving normally,0,0.0,0.006766917293233083,0.8473741794310723,1.0,0.5864978902953587,0.0,0.713880540859947,1.0,71.3880540859947,High
R003,Nungambakkam_Rd_3,Nungambakkam,18,80,13.9,1541,1541,0,clear roads,0,0.0,0.006766917293233083,0.9688183807439824,1.0,0.5864978902953587,0.0,0.7563860113194656,1.0,75.63860113194656,Severe
R003,Nungambakkam_Rd_3,Nungambakkam,19,80,21.5,1541,1541,0,no incidents reported,0,0.0,0.006766917293233083,0.8440919037199125,1.0,0.5864978902953587,0.0,0.712731744361041,1.0,71.2731744361041,High
R003,Nungambakkam_Rd_3,Nungambakkam,20,80,21.8,1541,1541,0,no incidents reported,0,0.0,0.006766917293233083,0.839168490153173,1.0,0.5864978902953587,0.0,0.7110085496126823,1.0,71.10085496126824,High
R004,Nungambakkam_Rd_4,Nungambakkam,7,40,10.0,1543,1543,1,slight congestion due to signal,1,0.13333333333333333,0.0007063112326270221,0.8687089715536106,1.0,0.025316455696202528,0.25,0.6466114311830041,1.0,64.66114311830042,High
R004,Nungambakkam_Rd_4,Nungambakkam,8,40,8.1,1543,1543,0,traffic moving normally,0,0.0,0.0007063112326270221,0.9310722100656456,1.0,0.025316455696202528,0.0,0.6309385646622164,1.0,63.093856466221645,High
R004,Nungambakkam_Rd_4,Nungambakkam,9,40,13.0,1543,1543,0,clear roads,0,0.0,0.0007063112326270221,0.7702407002188185,1.0,0.025316455696202528,0.0,0.574647536215827,1.0,57.4647536215827,High
R004,Nungambakkam_Rd_4,Nungambakkam,10,40,8.3,1543,1543,0,clear roads,0,0.0,0.0007063112326270221,0.924507658643326,1.0,0.025316455696202528,0.0,0.6286409716644046,1.0,62.86409716644046,High
R004,Nungambakkam_Rd_4,Nungambakkam,17,40,12.4,1543,1543,0,no incidents reported,0,0.0,0.0007063112326270221,0.7899343544857768,1.0,0.025316455696202528,0.0,0.5815403152092624,1.0,58.15403152092624,High
R004,Nungambakkam_Rd_4,Nungambakkam,18,40,11.8,1543,1543,0,no incidents reported,0,0.0,0.0007063112326270221,0.8096280087527352,1.0,0.025316455696202528,0.0,0.5884330942026978,1.0,58.84330942026978,High
R004,Nungambakkam_Rd_4,Nungambakkam,19,40,11.4,1543,1543,1,fatal accident blocked road,3,0.5333333333333333,0.0007063112326270221,0.8227571115973742,1.0,0.025316455696202528,1.0,0.7430282801983216,1.0,74.30282801983216,High
R004,Nungambakkam_Rd_4,Nungambakkam,20,40,9.4,1543,1543,1,fatal accident blocked road,3,0.5333333333333333,0.0007063112326270221,0.888402625820569,1.0,0.025316455696202528,1.0,0.7660042101764396,1.0,76.60042101764397,Severe
R005,Nungambakkam_Rd_5,Nungambakkam,7,50,10.5,1969,1969,1,minor fender bender cleared,1,0.13333333333333333,0.001982228298017772,0.9212253829321665,1.0,0.14345991561181437,0.25,0.688620867148621,1.0,68.8620867148621,High
R005,Nungambakkam_Rd_5,Nungambakkam,8,50,12.2,1969,1969,0,no incidents reported,0,0.0,0.001982228298017772,0.8765864332603939,1.0,0.14345991561181437,0.0,0.6354972347635006,1.0,63.54972347635006,High
R005,Nungambakkam_Rd_5,Nungambakkam,9,50,13.2,1969,1969,1,accident reported minor injuries,2,0.3333333333333333,0.001982228298017772,0.850328227571116,1.0,0.14345991561181437,0.625,0.7200568627722534,1.0,72.00568627722535,High
R005,Nungambakkam_Rd_5,Nungambakkam,10,50,12.4,1969,1969,0,no incidents reported,0,0.0,0.001982228298017772,0.8713347921225383,1.0,0.14345991561181437,0.0,0.6336591603652513,1.0,63.36591603652513,High
R005,Nungambakkam_Rd_5,Nungambakkam,17,50,15.3,1969,1969,1,slow traffic near junction,1,0.06666666666666667,0.001982228298017772,0.7951859956236323,1.0,0.14345991561181437,0.125,0.6257570815906341,1.0,62.57570815906342,High
R005,Nungambakkam_Rd_5,Nungambakkam,18,50,14.7,1969,1969,0,traffic moving normally,0,0.0,0.001982228298017772,0.8109409190371991,1.0,0.14345991561181437,0.0,0.6125213047853826,1.0,61.252130478538255,High
